customer_id,first_bet_datetime,twentieth_bet_datetime,bets_used,total_betting_amount,mean_betting_amount,mean_price,pct_racing,pct_cash,pct_return,total_payout,total_return_for_entain,feature_generated_at
0f6e1cdd-a827-44a1-9357-cc6206c3ddbe,2024-08-15T15:44:08.046000,2024-09-02T15:22:33.019000,20,196.7,9.835,7.1885,0.3,1,0.1,100.634,96.066,2026-04-22T02:13:48.642484+00:00
4bafc26f-34f3-4fa7-a8ea-40727c73e512,2024-08-04T04:03:04.046000,2024-08-23T11:55:40.025000,20,358.4,17.92,14.0235,0.15,1,0.05,316.14,42.26,2026-04-22T02:13:48.642484+00:00
f124192c-d8fa-4d7f-b0b0-8e6204c4676f,2024-08-29T06:03:54.057000,2024-09-09T09:32:57.036000,20,68.9,3.445,5.3205,0.8,1,0.1,34.82,34.08,2026-04-22T02:13:48.642484+00:00
121d91f0-2429-47b3-99a8-0ba834956204,2024-08-17T22:28:16.048000,2024-09-08T11:05:58.044000,20,97.9,4.895,16.4685,0.95,0.9,0.05,91.96,0.14,2026-04-22T02:13:48.642484+00:00
6fba61f6-f396-443b-a931-4f60fc61b7c1,2024-08-12T01:08:04.002000,2024-08-29T12:53:14.011000,20,25.5,1.275,8.3455,1,0.95,0.2,49.592,-25.192,2026-04-22T02:13:48.642484+00:00
03b01cf0-c5e2-48ae-921e-c2767f6933de,2024-08-17T05:26:29.016000,2024-09-03T14:04:00.059000,20,265.4,13.27,14.213,0.8,0.95,0.25,821.61,-577.81,2026-04-22T02:13:48.642484+00:00
edc8a6e9-7464-45e6-ade9-a9b7d243c3ba,2024-08-02T15:46:38.058000,2024-08-21T04:50:30.017000,20,110.9,5.545,4.03,0.75,1,0.25,93.829,17.071,2026-04-22T02:13:48.642484+00:00
68bc8a55-6f26-4395-ad2f-a03a34d6a155,2024-08-29T23:16:30.024000,2024-09-18T07:25:48.034000,20,335.1,16.755,19.041,0.9,0.9,0.1,746.948,-469.148,2026-04-22T02:13:48.642484+00:00
1daa1fd6-5c78-4ed1-8357-29dd3549127c,2024-08-23T04:16:17.039000,2024-09-11T14:18:39.022000,20,374,18.7,13.969,0.95,0.95,0.05,224.346,123.154,2026-04-22T02:13:48.642484+00:00
e8d43a8d-6df7-4b33-b733-f3f2bd8da37c,2024-08-26T02:01:07.021000,2024-09-15T02:11:33.024000,20,369.8,18.49,9.699,1,0.95,0.1,155.038,183.262,2026-04-22T02:13:48.642484+00:00
9aaa2b3c-875e-4cb3-8916-98b090ef866a,2024-08-18T04:27:19.032000,2024-09-08T06:20:18.040000,20,70.8,3.54,13.176,0.8,0.95,0.05,2.744,64.456,2026-04-22T02:13:48.642484+00:00
3a7407eb-0461-47e6-964f-2740a7d0121c,2024-08-13T00:39:36.036000,2024-08-30T02:06:11.059000,20,246.9,12.345,11.6795,0.85,1,0.1,350.878,-103.978,2026-04-22T02:13:48.642484+00:00
a4104c45-29ff-469d-8836-c4fff468736e,2024-08-07T14:04:10.014000,2024-08-30T03:39:40.012000,20,289.2,14.46,2.805,0.9,1,0.4,213.816,75.384,2026-04-22T02:13:48.642484+00:00
c33a2c32-7d15-4637-848b-3adc97bfd464,2024-08-05T18:14:24.014000,2024-08-19T20:11:02.059000,20,188.1,9.405,2.167,0.75,0.95,0.35,158.551,24.149,2026-04-22T02:13:48.642484+00:00
dfa23e14-a6dc-482f-b6f7-ab3671a85603,2024-08-05T14:54:56.049000,2024-08-21T12:54:07.002000,20,353.4,17.67,3.436,0.9,0.95,0.55,654.401,-326.901,2026-04-22T02:13:48.642484+00:00
71123cfb-57dd-4387-bcf3-a12f380eec1e,2024-08-06T03:33:25.059000,2024-08-29T20:41:54.053000,20,156.6,7.83,15.863,0.25,0.9,0,0,137.4,2026-04-22T02:13:48.642484+00:00
237e7cdd-9a56-4d9e-aa00-935c74ff3977,2024-08-17T15:52:54.016000,2024-09-03T23:45:44.018000,20,126.9,6.345,10.0855,0.9,0.9,0.1,247.209,-131.709,2026-04-22T02:13:48.642484+00:00
2862af31-a98b-449f-9c0d-624bc497947f,2024-08-07T07:06:50.027000,2024-08-25T01:46:05.014000,20,123.1,6.155,6.8505,1,0.95,0,0,118.6,2026-04-22T02:13:48.642484+00:00
7b6838f7-3d2c-4cdf-ab42-e3fbfc15717d,2024-08-17T08:29:42.002000,2024-09-09T22:18:26.053000,20,70.9,3.545,4.0065,0.85,1,0.25,38.301,32.599,2026-04-22T02:13:48.642484+00:00
181f861b-f58c-466c-8eb3-ca3ab0d165bb,2024-08-02T18:13:39.032000,2024-08-23T05:41:46.019000,20,237.9,11.895,18.438,0.95,0.95,0,0,196.2,2026-04-22T02:13:48.642484+00:00
cb2a6a68-d63f-4243-9330-fed9230adcba,2024-08-31T19:54:08.017000,2024-09-18T23:00:52.019000,20,235.2,11.76,19.1525,0.85,1,0,0,235.2,2026-04-22T02:13:48.642484+00:00
77b3953d-7196-4396-bc54-369509d66240,2024-08-09T04:39:14.016000,2024-08-27T01:44:13.041000,20,110.5,5.525,3.676,1,1,0.3,96.182,14.318,2026-04-22T02:13:48.642484+00:00
1823980f-bfa5-48e6-b75b-c1cd588e2b31,2024-08-08T12:52:52.049000,2024-08-28T17:34:28.049000,20,185.7,9.285,2.3645,0.85,1,0.4,188.232,-2.532,2026-04-22T02:13:48.642484+00:00
1836a5b3-c28c-4b9f-99a9-1ee4981ea775,2024-08-10T02:28:29.040000,2024-08-26T10:44:00.001000,20,191,9.55,17.0575,0.8,0.9,0,0,179,2026-04-22T02:13:48.642484+00:00
96490abc-2005-4e67-a459-c3b5ac42596c,2024-08-20T08:50:39.058000,2024-09-10T12:11:26.032000,20,143.4,7.17,15.408,0.75,1,0.1,226.303,-82.903,2026-04-22T02:13:48.642484+00:00
13cfaf9b-234e-484e-ac64-5b41d5c84218,2024-08-06T15:52:40.033000,2024-08-25T11:23:24.050000,20,109.7,5.485,18.5545,0.8,1,0,0,109.7,2026-04-22T02:13:48.642484+00:00
7355ae25-8f1c-4349-87ff-9c860eb7048f,2024-08-19T07:05:16.019000,2024-09-06T23:21:49.054000,20,145,7.25,17.7525,0.85,0.95,0,0,141.2,2026-04-22T02:13:48.642484+00:00
ddf1e20b-76c6-4991-b49a-a25bd49972fa,2024-08-10T21:13:33.025000,2024-09-01T04:32:52.007000,20,210.7,10.535,7.2485,0.85,0.95,0.15,270.308,-68.808,2026-04-22T02:13:48.642484+00:00
5076abf4-14ca-489b-98ed-826774922c5c,2024-08-24T04:00:01.038000,2024-09-13T04:01:04.014000,20,168.9,8.445,12.4775,0.9,1,0.1,411.303,-242.403,2026-04-22T02:13:48.642484+00:00
29f80b09-5d00-428e-aa98-a8b9e6008924,2024-08-28T07:43:48.041000,2024-09-17T09:28:08.034000,20,174.4,8.72,17.326,0.7,0.95,0,0,168.1,2026-04-22T02:13:48.642484+00:00
8dfbffd2-fa69-4983-981c-aef4bee08456,2024-08-21T14:49:49.019000,2024-09-09T07:03:28.048000,20,227.3,11.365,3.517,1,1,0.3,241.152,-13.852,2026-04-22T02:13:48.642484+00:00
7e80ad45-1775-48f5-b87a-9ea0015cd342,2024-08-19T21:34:28.021000,2024-09-05T23:10:42.045000,20,53.4,2.67,5.9785,0.95,0.9,0.15,111.728,-61.328,2026-04-22T02:13:48.642484+00:00
608bf0f7-2b8b-4ddf-be22-68f42c1bec25,2024-08-10T22:59:27.045000,2024-08-31T19:45:46.003000,20,106.1,5.305,14.289,0.95,1,0.05,51.947,54.153,2026-04-22T02:13:48.642484+00:00
86db56c1-524f-4dfd-9394-ca6f39264102,2024-08-10T20:04:43.028000,2024-08-29T17:09:54.057000,20,70.3,3.515,6.9745,0.75,0.95,0.05,16.104,51.796,2026-04-22T02:13:48.642484+00:00
9f078725-e825-4311-8e75-687fbc93f434,2024-08-21T09:12:39.011000,2024-09-12T08:49:32.048000,20,327,16.35,4.082,0.9,0.95,0.35,503.409,-183.009,2026-04-22T02:13:48.642484+00:00
95398f47-68c6-4b23-a8ca-4999ac6fe518,2024-08-12T06:21:27.051000,2024-09-01T17:46:45.030000,20,179,8.95,14.2105,0.95,0.95,0.15,203.184,-30.184,2026-04-22T02:13:48.642484+00:00
9685ee74-0d20-4df3-b963-f1f0fa272ea3,2024-08-25T15:10:24.016000,2024-09-12T00:10:30.049000,20,100.5,5.025,9.7265,0.8,0.85,0.05,16.317,69.183,2026-04-22T02:13:48.642484+00:00
efec2fb9-5438-4753-84f1-e9bc987a24b2,2024-08-08T03:10:21.059000,2024-08-23T13:48:05.017000,20,122.1,6.105,7.855,0.9,0.95,0.1,62.258,56.442,2026-04-22T02:13:48.642484+00:00
9c7870ce-57fb-40cb-9a55-b9db8d861870,2024-08-28T00:56:58.048000,2024-09-09T04:40:49.028000,20,136.3,6.815,11.267,0.75,1,0.2,143.595,-7.295,2026-04-22T02:13:48.642484+00:00
ce7af117-038f-4edb-891f-3a03859b23d1,2024-08-19T02:46:34.051000,2024-09-06T20:20:00.040000,20,245.3,12.265,18.326,0.85,0.95,0.15,884.481,-659.481,2026-04-22T02:13:48.642484+00:00
9dfe030a-a934-4caa-a27a-e7f12198d573,2024-08-14T05:00:51.016000,2024-08-30T20:50:05.007000,20,222.9,11.145,6.6395,1,1,0.1,226.08,-3.18,2026-04-22T02:13:48.642484+00:00
da8e0ce4-aaf1-4e53-b806-7fd291193405,2024-08-29T10:23:36.010000,2024-09-18T12:54:29.058000,20,280.5,14.025,5.2165,0.1,0.95,0.4,523.482,-252.482,2026-04-22T02:13:48.642484+00:00
3c08aef0-9cc6-4fdd-b01e-e49b2ab6f294,2024-08-18T10:14:56.046000,2024-09-09T09:44:45.040000,20,60.7,3.035,17.9225,0.85,0.85,0.05,35.592,20.008,2026-04-22T02:13:48.642484+00:00
5ff22729-3d45-4850-9e92-decf0bdf30ed,2024-08-18T22:41:43.045000,2024-09-10T12:17:50.036000,20,320.3,16.015,17.3165,0.9,0.85,0.1,507.222,-208.022,2026-04-22T02:13:48.642484+00:00
9e809e04-918a-453e-bfc1-40b073053d8f,2024-08-31T16:57:57.043000,2024-09-19T01:53:07.036000,20,230.5,11.525,3.5855,0.9,0.85,0.3,239.275,-37.775,2026-04-22T02:13:48.642484+00:00
99f1c2b6-27e9-4b1f-8485-5de4f12d6b06,2024-08-08T12:27:08.003000,2024-08-25T13:14:01.009000,20,47.4,2.37,3.3915,0.75,0.9,0.3,57.19,-16.49,2026-04-22T02:13:48.642484+00:00
e07d9c04-ed4a-4976-9bfe-9620bc121422,2024-08-28T17:52:34.016000,2024-09-20T05:29:10.000000,20,283.8,14.19,2.815,0.85,1,0.35,146.7,137.1,2026-04-22T02:13:48.642484+00:00
f8cc71c2-a0c2-4da4-a6fe-45ab4330cf89,2024-08-14T05:47:28.031000,2024-09-01T10:50:07.026000,20,67.1,3.355,18.5815,0.1,0.8,0,0,57.9,2026-04-22T02:13:48.642484+00:00
dce1c85d-0a75-4ed6-93f7-065cde10919d,2024-08-02T20:43:51.005000,2024-08-23T16:04:35.041000,20,391.4,19.57,5.7805,0.6,0.9,0.1,211.008,142.892,2026-04-22T02:13:48.642484+00:00
